CUST,Start time for each 30min measurement period,Consumption in kWh,Trading Period,Price $/MWh for each trading period,Solar Energy Used,Excess Energy Exported to Grid,Revenue from Energy Used by Building,Revenue from Energy Exported to Grid,Total Revenue per Period
218691361,2023-01-03 20:30:00,1.1,42,79.95,1.1,2.23,0.319,0.2676,0.5866
218691361,2023-01-03 21:00:00,0.1,43,80.58,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 21:30:00,0.1,44,80.57,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 22:00:00,0.09,45,80.19,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 22:30:00,0.11,46,68.35,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-03 23:00:00,0.09,47,73.65,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 23:30:00,0.1,48,69.42,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-04 00:00:00,0.38,1,40.24,0.38,2.95,0.1102,0.354,0.4642
218691361,2023-01-04 00:30:00,0.37,2,40.07,0.37,2.96,0.1073,0.3552,0.4625
218691361,2023-01-04 01:00:00,0.1,3,40.07,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-04 01:30:00,0.6,4,40.04,0.6,2.73,0.174,0.3276,0.5016
218691361,2023-01-04 02:00:00,0.51,5,40.01,0.51,2.82,0.1479,0.3384,0.4863
218691361,2023-01-04 02:30:00,0.09,6,40.01,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-04 03:00:00,0.1,7,40,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-04 03:30:00,0.09,8,40.02,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-04 04:00:00,0.64,9,40.01,0.64,2.69,0.1856,0.3228,0.5084
218691361,2023-01-04 04:30:00,0.1,10,40.02,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-04 05:00:00,0.09,11,40.06,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-04 05:30:00,0.11,12,40.04,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-04 06:00:00,0.09,13,40.07,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-04 06:30:00,0.84,14,31.09,0.84,2.49,0.2436,0.2988,0.5424
218691361,2023-01-04 07:00:00,0.34,15,30.86,0.34,2.99,0.0986,0.3588,0.4574
218691361,2023-01-04 07:30:00,0.14,16,39.61,0.14,3.19,0.0406,0.3828,0.4234
218691361,2023-01-04 08:00:00,0.46,17,37.67,0.46,2.87,0.1334,0.3444,0.4778
218691361,2023-01-04 08:30:00,0.4,18,29.71,0.4,2.93,0.116,0.3516,0.4676
218691361,2023-01-04 09:00:00,0.13,19,43.03,0.13,3.2,0.0377,0.384,0.4217
